CBSA_Title,PerChangeGDP,NatResMining,Constr,DurGoManu,NonGoodManu,Trade,TransUtil,Info,FinInsRealEstRentLea,ProBusiServi,EdSerHealthSociAs,ArtEntRec,OtherServices,Govern
U.S. metropolitan areas,,0.04,0.04,0.21,-0.02,0.38,0.12,0.21,0.33,0.44,0.23,0.1,0.04,0
"Abilene, TX",5.9,,-0.54,-0.09,0.09,,,,1.19,-0.07,0.52,,0.24,0
"Akron, OH",0.6,-0.08,0.13,0.09,-0.72,0.48,0.31,0.23,0.22,-0.07,-0.1,0,0,0.13
"Albany, GA",1.8,-0.01,-0.26,0.17,0.09,1.19,,0.03,-0.17,0.21,-0.09,,0.1,0.12
"Albany, OR",-0.7,-0.53,0.39,-0.41,-1.68,0.43,0.34,0.24,0.29,0.03,-0.06,0.08,0.05,0.11
"Albany-Schenectady-Troy, NY",1.1,-0.03,-0.12,0.12,0.79,,,-0.06,-0.05,0.07,0.2,0.25,0,-0.08
"Albuquerque, NM",-0.6,0.02,0.26,-0.37,0.05,0.06,0.05,-0.81,-0.06,0.55,0.08,-0.06,0.05,-0.41
"Alexandria, LA",-2.3,0.13,-0.21,-0.59,-0.4,0.03,0.03,,-0.13,-1.02,0.19,-0.03,,-0.28
"Allentown-Bethlehem-Easton, PA-NJ",3,0.08,0.13,0.3,1.14,0.39,0.22,-0.1,0.26,0.25,0.35,-0.01,0.07,-0.04
"Altoona, PA",1,0.31,-0.07,-0.14,0.27,0.49,0.56,0.04,-0.66,-0.08,0.15,0.04,0.15,-0.07
"Amarillo, TX",1.6,,,0.06,0.22,,,-0.08,,-0.02,0.11,-0.05,,0.07
"Ames, IA",5.7,-0.08,0.17,0.65,2.43,0.39,0,0.1,1.29,0.44,0.19,0.08,0.04,0.03
"Anchorage, AK",-1,0.34,-0.2,-0.03,-0.05,-0.07,-0.06,-0.15,-0.29,-0.26,0.18,-0.02,0.01,-0.46
"Ann Arbor, MI",2.5,0.01,0.07,0.18,-0.12,0.46,0.15,0.3,0.78,0.44,0.13,0.16,0.02,-0.09
"Anniston-Oxford-Jacksonville, AL",1.2,0.07,0.09,1.01,0.24,0.6,0.01,-0.02,-0.16,0.32,-0.54,0.03,-0.15,-0.25
"Appleton, WI",1.1,-0.31,0.19,0.13,-0.01,0.6,0.15,,-0.12,0.49,0.01,-0.06,,0.04
"Asheville, NC",4.1,0.03,0.17,0.38,1.16,0.39,0.3,-0.01,0.91,-0.12,0.41,0.24,0.15,0.06
"Athens-Clarke County, GA",4.9,-0.07,0.31,0.28,-0.26,0.38,0.1,-0.07,3.3,0.46,0,0.17,-0.14,0.41
"Atlanta-Sandy Springs-Roswell, GA",2.9,-0.01,,0.14,0.2,0.42,0.2,0.65,0.35,0.45,0.23,0.11,0.05,0.09
"Atlantic City-Hammonton, NJ",-0.3,,-0.48,,0.13,0.4,0.39,0.05,-0.18,0.57,0.45,-0.85,0.1,-0.51
"Auburn-Opelika, AL",3.9,0.13,1.45,0.19,-0.57,0.76,0.32,0.06,0.02,0.18,0.17,0.5,0.48,0.19
"Augusta-Richmond County, GA-SC",0.6,-0.05,-0.27,,,0.16,0.24,-0.08,-0.33,0.12,0.03,0.11,0.02,0.12
"Austin-Round Rock, TX",6.9,1.22,0.18,0.48,0.19,1.45,0.15,0.63,1.14,0.88,0.22,0.21,0.07,0.1
"Bakersfield, CA",-1.3,-0.75,-0.02,-0.03,-1.36,0.04,0.28,0.03,0.02,0.12,0.26,0,0.03,0.04
"Baltimore-Columbia-Towson, MD",1,0.01,-0.1,0.24,0.22,0.06,-0.25,0.11,0.19,0.14,0.23,0.06,0.04,0.04
"Bangor, ME",0.9,-0.12,-0.09,-0.04,-0.02,0.25,-0.18,-0.32,0.29,0.03,0.8,0.3,0.05,-0.02
"Barnstable Town, MA",1.1,,-0.19,-0.15,,0.27,0.12,0.2,0.43,0.1,0.32,0.17,0,-0.19
"Baton Rouge, LA",-0.5,-0.03,0.05,,,0.4,-0.04,,,-0.05,0.13,0.13,0.16,-0.06
"Battle Creek, MI",1.4,-0.09,0.08,1.68,3.1,-0.11,0.1,-0.14,-0.64,-2.08,0.01,-0.17,-0.05,-0.27
"Bay City, MI",-1.6,-0.05,0.27,-0.01,1.18,0.44,0.1,-0.23,-0.57,-1.57,-0.6,0.02,-0.51,-0.04
"Beaumont-Port Arthur, TX",-2.8,-0.03,,,,0.05,0.31,-0.05,0.17,-0.19,-0.23,-0.05,-0.06,0.06
"Beckley, WV",9.6,8.79,-0.08,0.04,-0.2,0.31,0.02,-0.07,0.19,0.48,0.14,0.14,0.18,-0.33
"Bellingham, WA",4.2,-0.39,0.86,-0.02,-0.43,0.6,0.06,0.03,2.47,0.45,0.22,-0.08,0.22,0.26
"Bend-Redmond, OR",4.3,0.05,0.43,-0.11,0.22,0.67,0.18,0.33,0.04,1.46,0.55,0.28,0.1,0.08
"Billings, MT",-2.5,-1.13,-0.34,0.08,-1.23,0.17,0,-0.1,-0.59,,0.66,0.1,-0.04,-0.03
"Binghamton, NY",0.9,-0.01,-0.21,0.24,-0.07,0.13,0.11,-0.16,0.24,0.1,0.28,0.24,0.08,-0.02
"Birmingham-Hoover, AL",1.4,0.41,-0.08,-0.1,0.01,0.21,-0.09,-0.12,0.23,0.49,0.34,0.02,0.04,0.01
"Bismarck, ND",-1.4,-0.72,,,,0.04,0.18,,,0.15,-0.32,,,-0.04
"Blacksburg-Christiansburg-Radford, VA",0.6,0,-0.08,0.49,-0.45,0.01,,0.08,-0.24,,0.04,0.09,0.05,0.41
"Bloomington, IL",-1.8,-0.69,-0.09,-0.66,0.02,0.3,0.1,-0.14,-0.55,-0.12,0.08,0.03,-0.09,-0.03
"Bloomington, IN",4.7,,0.1,0.85,2.32,0.25,0.12,0,0.26,0.24,0.37,0.21,0.05,-0.19
"Bloomsburg-Berwick, PA",1.4,-0.18,0.04,0.05,0.38,-0.2,-0.42,0.08,0.46,0.58,0.58,-0.01,0.08,0.01
