"MAINC1 Personal Income Summary: Personal Income, Population, Per Capita Personal Income",,,,,,,
Personal income (Percent of U.S.) ,,,,,,,
Bureau of Economic Analysis ,,,,,,,
Combined Statistical Area,,,,,,,
GeoFips,GeoName,2012,2013,2014,2015,2016,2017
89104,"Albany-Schenectady, NY (Combined Statistical Area)",0.4,0.4,0.4,0.4,0.4,0.4
89106,"Albuquerque-Santa Fe-Las Vegas, NM (Combined Statistical Area)",0.3,0.3,0.3,0.3,0.3,0.3
89108,"Amarillo-Borger, TX (Combined Statistical Area)",0.1,0.1,0.1,0.1,0.1,0.1
89118,"Appleton-Oshkosh-Neenah, WI (Combined Statistical Area)",0.1,0.1,0.1,0.1,0.1,0.1
89120,"Asheville-Brevard, NC (Combined Statistical Area)",0.1,0.1,0.1,0.1,0.1,0.1
89122,"Atlanta--Athens-Clarke County--Sandy Springs, GA (Combined Statistical Area)",1.8,1.8,1.8,1.8,1.9,1.9
89140,"Bend-Redmond-Prineville, OR (Combined Statistical Area)",0,0.1,0.1,0.1,0.1,0.1
89142,"Birmingham-Hoover-Talladega, AL (Combined Statistical Area)",0.4,0.4,0.4,0.4,0.4,0.4
89144,"Bloomington-Bedford, IN (Combined Statistical Area)",0,0,0,0,0,0.1
89145,"Bloomington-Pontiac, IL (Combined Statistical Area)",0.1,0.1,0.1,0.1,0.1,0.1
89146,"Bloomsburg-Berwick-Sunbury, PA (Combined Statistical Area)",0.1,0.1,0.1,0.1,0.1,0.1
89147,"Boise City-Mountain Home-Ontario, ID-OR (Combined Statistical Area)",0.2,0.2,0.2,0.2,0.2,0.2
89148,"Boston-Worcester-Providence, MA-RI-NH-CT (Combined Statistical Area)",3.2,3.2,3.2,3.2,3.2,3.2
89150,"Bowling Green-Glasgow, KY (Combined Statistical Area)",0,0,0,0,0,0
89154,"Brownsville-Harlingen-Raymondville, TX (Combined Statistical Area)",0.1,0.1,0.1,0.1,0.1,0.1
89160,"Buffalo-Cheektowaga, NY (Combined Statistical Area)",0.4,0.4,0.3,0.3,0.3,0.3
89162,"Cape Coral-Fort Myers-Naples, FL (Combined Statistical Area)",0.4,0.4,0.4,0.4,0.4,0.4
89164,"Cape Girardeau-Sikeston, MO-IL (Combined Statistical Area)",0,0,0,0,0,0
89168,"Cedar Rapids-Iowa City, IA (Combined Statistical Area)",0.1,0.1,0.1,0.1,0.1,0.1
89170,"Charleston-Huntington-Ashland, WV-OH-KY (Combined Statistical Area)",0.2,0.2,0.2,0.2,0.2,0.2
89172,"Charlotte-Concord, NC-SC (Combined Statistical Area)",0.8,0.7,0.7,0.8,0.8,0.8
89174,"Chattanooga-Cleveland-Dalton, TN-GA-AL (Combined Statistical Area)",0.2,0.2,0.2,0.2,0.2,0.2
89176,"Chicago-Naperville, IL-IN-WI (Combined Statistical Area)",3.4,3.4,3.5,3.5,3.4,3.4
89178,"Cincinnati-Wilmington-Maysville, OH-KY-IN (Combined Statistical Area)",0.7,0.7,0.7,0.7,0.7,0.7
89184,"Cleveland-Akron-Canton, OH (Combined Statistical Area)",1.1,1.1,1.1,1,1,1
89185,"Cleveland-Indianola, MS (Combined Statistical Area)",0,0,0,0,0,0
89188,"Clovis-Portales, NM (Combined Statistical Area)",0,0,0,0,0,0
89190,"Columbia-Moberly-Mexico, MO (Combined Statistical Area)",0.1,0.1,0.1,0.1,0.1,0.1
89192,"Columbia-Orangeburg-Newberry, SC (Combined Statistical Area)",0.2,0.2,0.2,0.2,0.2,0.2
89194,"Columbus-Auburn-Opelika, GA-AL (Combined Statistical Area)",0.1,0.1,0.1,0.1,0.1,0.1
89198,"Columbus-Marion-Zanesville, OH (Combined Statistical Area)",0.7,0.7,0.7,0.7,0.7,0.7
89200,"Columbus-West Point, MS (Combined Statistical Area)",0,0,0,0,0,0
