DESCRIPTION,IHE Type,Subgroup,Total Enrollees,Total Enrollees %,Prior Year MI HS Grad,Prior Year MI HS Grad %,Age < 25,Age < 25 %,Age >= 25,Age >= 25 %,Degree Seeking,Degree Seeking %,Non-Degree Seeking,Non-Degree Seeking %,IHE Code,IHE NAME
"17 - 18 School Year","All","All Students","508874","100.000000000","57579","11.314981700","383240","75.311373700","125634","24.688626300","451250","88.676175200","57624","11.323824800","0","Statewide"
"17 - 18 School Year","All","American Indian or Alaska Native","2829","0.555933300","265","9.367267600","1704","60.233298000","1125","39.766702000","2507","88.617886200","322","11.382113800","0","Statewide"
"17 - 18 School Year","All","Asian","22033","4.329755500","2335","10.597739800","18155","82.399128600","3878","17.600871400","19936","90.482458100","2097","9.517541900","0","Statewide"
"17 - 18 School Year","All","Black, not of Hispanic origin","61579","12.101030900","6504","10.562042300","38909","63.185501600","22670","36.814498500","55935","90.834537800","5644","9.165462300","0","Statewide"
"17 - 18 School Year","All","Female","279101","54.846779400","31485","11.280862500","206821","74.102565000","72280","25.897435000","247573","88.703730900","31528","11.296269100","0","Statewide"
"17 - 18 School Year","All","Hispanic","24273","4.769943100","3018","12.433568200","18963","78.123841300","5310","21.876158700","22053","90.854035400","2220","9.145964700","0","Statewide"
"17 - 18 School Year","All","Male","229773","45.153220600","26094","11.356425700","176419","76.779691300","53354","23.220308700","203677","88.642703900","26096","11.357296100","0","Statewide"
"17 - 18 School Year","All","Native Hawaiian or Other Pacific Islander","530","0.104151500","49","9.245283000","344","64.905660400","186","35.094339600","467","88.113207600","63","11.886792500","0","Statewide"
"17 - 18 School Year","All","Two or More Races","16380","3.218871500","2238","13.663003700","13484","82.319902300","2896","17.680097700","14772","90.183150200","1608","9.816849800","0","Statewide"
"17 - 18 School Year","All","Unknown","37593","7.387486900","3661","9.738515200","26791","71.265927200","10802","28.734072800","29576","78.674221300","8017","21.325778700","0","Statewide"
"17 - 18 School Year","All","White, not of Hispanic origin","343657","67.532827400","39509","11.496637600","264890","77.079762700","78767","22.920237300","306004","89.043435800","37653","10.956564300","0","Statewide"
"17 - 18 School Year","Four Year Aggregate","All Students","280894","100.000000000","32698","11.640690100","233382","83.085434400","47512","16.914565600","263765","93.901970100","17129","6.098029900","0","Statewide"
"17 - 18 School Year","Four Year Aggregate","American Indian or Alaska Native","1350","0.480608300","132","9.777777800","891","66.000000000","459","34.000000000","1239","91.777777800","111","8.222222200","0","Statewide"
"17 - 18 School Year","Four Year Aggregate","Asian","15731","5.600333200","1790","11.378806200","14118","89.746360700","1613","10.253639300","14825","94.240671300","906","5.759328700","0","Statewide"
"17 - 18 School Year","Four Year Aggregate","Black, not of Hispanic origin","25329","9.017280500","3101","12.242883700","18697","73.816573900","6632","26.183426100","24332","96.063800400","997","3.936199600","0","Statewide"
"17 - 18 School Year","Four Year Aggregate","Female","152535","54.303402700","18439","12.088373200","125350","82.177860800","27185","17.822139200","143071","93.795522300","9464","6.204477700","0","Statewide"
"17 - 18 School Year","Four Year Aggregate","Hispanic","13245","4.715301900","1630","12.306530800","11251","84.945262400","1994","15.054737600","12479","94.216685500","766","5.783314500","0","Statewide"
"17 - 18 School Year","Four Year Aggregate","Male","128359","45.696597300","14259","11.108687400","108032","84.163946400","20327","15.836053600","120694","94.028467000","7665","5.971533000","0","Statewide"
"17 - 18 School Year","Four Year Aggregate","Native Hawaiian or Other Pacific Islander","247","0.087933500","24","9.716599200","171","69.230769200","76","30.769230800","228","92.307692300","19","7.692307700","0","Statewide"
"17 - 18 School Year","Four Year Aggregate","Two or More Races","9541","3.396655000","1306","13.688292600","8365","87.674248000","1176","12.325752000","9068","95.042448400","473","4.957551600","0","Statewide"
"17 - 18 School Year","Four Year Aggregate","Unknown","15472","5.508127600","826","5.338676300","12948","83.686659800","2524","16.313340200","12737","82.322905900","2735","17.677094100","0","Statewide"
"17 - 18 School Year","Four Year Aggregate","White, not of Hispanic origin","199979","71.193759900","23889","11.945754300","166941","83.479265300","33038","16.520734700","188857","94.438416000","11122","5.561584000","0","Statewide"
"17 - 18 School Year","Four Year Independent","All Students","34385","100.000000000","2523","7.337501800","20924","60.852115800","13461","39.147884300","30967","90.059619000","3418","9.940381000","0","Statewide"
"17 - 18 School Year","Four Year Independent","American Indian or Alaska Native","150","0.436236700","<10","4.000000000","75","50.000000000","75","50.000000000","126","84.000000000","24","16.000000000","0","Statewide"
"17 - 18 School Year","Four Year Independent","Asian","920","2.675585300","30","3.260869600","572","62.173913000","348","37.826087000","825","89.673913000","95","10.326087000","0","Statewide"
"17 - 18 School Year","Four Year Independent","Black, not of Hispanic origin","3456","10.050894300","222","6.423611100","1474","42.650463000","1982","57.349537000","3283","94.994213000","173","5.005787000","0","Statewide"
"17 - 18 School Year","Four Year Independent","Female","21346","62.079395100","1468","6.877166700","12274","57.500234200","9072","42.499765800","19258","90.218307900","2088","9.781692100","0","Statewide"
"17 - 18 School Year","Four Year Independent","Hispanic","1594","4.635742300","137","8.594730200","1096","68.757841900","498","31.242158100","1464","91.844416600","130","8.155583400","0","Statewide"
"17 - 18 School Year","Four Year Independent","Male","13039","37.920604900","1055","8.091111300","8650","66.339443200","4389","33.660556800","11709","89.799831300","1330","10.200168700","0","Statewide"
"17 - 18 School Year","Four Year Independent","Native Hawaiian or Other Pacific Islander","56","0.162861700","<10","5.357142900","20","35.714285700","36","64.285714300","50","89.285714300","<10","10.714285700","0","Statewide"
"17 - 18 School Year","Four Year Independent","Two or More Races","888","2.582521500","82","9.234234200","648","72.972973000","240","27.027027000","824","92.792792800","64","7.207207200","0","Statewide"
"17 - 18 School Year","Four Year Independent","Unknown","1463","4.254762300","128","8.749145600","1056","72.180451100","407","27.819548900","1123","76.760082000","340","23.239918000","0","Statewide"
