UnitID,Institution Name,FIPS state code (HD2018),Sector of institution (HD2018),Full time first-time degree/certificate-seeking undergraduate students enrolled (IC2018),
168528,Adrian College,26,2,1,
168546,Albion College,26,2,1,
168591,Alma College,26,2,1,
168607,Alpena Community College,26,1,1,
168740,Andrews University,26,2,1,
168786,Aquinas College,26,2,1,
168847,Baker College,26,2,1,
169080,Calvin College,26,2,1,
169248,Central Michigan University,26,1,1,
169327,Cleary University,26,2,1,
169442,College for Creative Studies,26,2,1,
169363,Concordia University-Ann Arbor,26,2,1,
170037,Cornerstone University,26,2,1,
169479,Davenport University,26,2,1,
169798,Eastern Michigan University,26,1,1,
169284,Empire Beauty School-Michigan,26,9,1,
169910,Ferris State University,26,1,1,
172440,Finlandia University,26,2,1,
170000,Grace Christian University,26,2,1,
170082,Grand Valley State University,26,1,1,
170091,Great Lakes Christian College,26,2,1,
170240,Henry Ford College,26,1,1,
170286,Hillsdale College,26,2,1,
170301,Hope College,26,2,1,
170444,Jackson College,26,1,1,
170532,Kalamazoo College,26,2,1,
169983,Kettering University,26,2,1,
171881,Kuyper College,26,2,1,
170620,Lake Michigan College,26,1,1,
170639,Lake Superior State University,26,1,1,
170675,Lawrence Technological University,26,2,1,
170806,Madonna University,26,2,1,
169655,MIAT College of Technology,26,6,1,
171012,Michigan Barber School Inc,26,5,1,
172422,Michigan Career and Technical Institute,26,7,1,
170611,Michigan College of Beauty-Monroe,26,9,1,
169220,Michigan School of Professional Psychology,26,2,2,
171100,Michigan State University,26,1,1,
169628,Michigan State University-College of Law,26,2,2,
171128,Michigan Technological University,26,1,1,
171155,Mid Michigan College,26,4,1,
171395,North Central Michigan College,26,4,1,
171456,Northern Michigan University,26,1,1,
171483,Northwestern Michigan College,26,1,1,
171492,Northwood University,26,2,1,
171571,Oakland University,26,1,1,
171599,Olivet College,26,2,1,
171775,Port Huron Cosmetology College,26,9,1,
170967,Rochester College,26,2,1,
172033,Sacred Heart Major Seminary,26,2,1,
172051,Saginaw Valley State University,26,1,1,
172200,Schoolcraft College,26,1,1,
172264,Siena Heights University,26,2,1,
172307,Southwestern Michigan College,26,4,1,
172334,Spring Arbor University,26,2,1,
169716,University of Detroit Mercy,26,2,1,
170976,University of Michigan-Ann Arbor,26,1,1,
171137,University of Michigan-Dearborn,26,1,1,
171146,University of Michigan-Flint,26,1,1,
172644,Wayne State University,26,1,1,
172699,Western Michigan University,26,1,1,
172477,Western Michigan University-Thomas M. Cooley Law School,26,2,2,
