UNITID,EFCSTATE,LINE,XEFRES01,EFRES01,XEFRES02,EFRES02 
100654, 1,  1,"R",667,"R",524
100654, 5,  5,"R",7,"R",6
100654, 6,  6,"R",22,"R",16
100654, 8,  8,"R",4,"R",3
100654,10, 10,"R",1,"R",0
100654,11, 11,"R",1,"R",0
100654,12, 12,"R",38,"R",25
100654,13, 13,"R",156,"R",131
100654,16, 16,"R",1,"R",1
100654,17, 17,"R",155,"R",120
100654,18, 18,"R",17,"R",11
100654,19, 19,"R",2,"R",2
100654,20, 20,"R",3,"R",2
100654,21, 21,"R",3,"R",3
100654,22, 22,"R",3,"R",1
100654,24, 24,"R",9,"R",9
100654,25, 25,"R",1,"R",1
100654,26, 26,"R",41,"R",35
100654,27, 27,"R",3,"R",2
100654,28, 28,"R",7,"R",6
100654,29, 29,"R",26,"R",21
100654,31, 31,"R",1,"R",1
100654,32, 32,"R",1,"R",0
100654,34, 34,"R",1,"R",0
100654,36, 36,"R",3,"R",1
100654,37, 37,"R",2,"R",2
100654,39, 39,"R",26,"R",21
100654,45, 45,"R",4,"R",2
100654,47, 47,"R",54,"R",52
100654,48, 48,"R",9,"R",7
100654,51, 51,"R",2,"R",2
100654,55, 55,"R",3,"R",0
100654,57, 57,"R",16,"R",7
100654,58,999,"R",1289,"R",1014
100654,70, 70,"R",1,"R",1
100654,72, 72,"R",3,"R",1
100654,78, 78,"R",1,"R",1
100654,89,999,"R",5,"R",3
100654,99, 99,"R",1294,"R",1017
100663, 1,  1,"R",1935,"R",1922
100663, 5,  5,"R",1,"R",1
100663, 6,  6,"R",9,"R",9
100663, 8,  8,"R",6,"R",6
100663, 9,  9,"R",2,"R",2
100663,12, 12,"R",33,"R",33
100663,13, 13,"R",93,"R",93
100663,17, 17,"R",23,"R",23
100663,18, 18,"R",3,"R",3
100663,19, 19,"R",4,"R",4
100663,20, 20,"R",1,"R",1
100663,21, 21,"R",5,"R",5
100663,22, 22,"R",16,"R",16
100663,24, 24,"R",9,"R",9
100663,26, 26,"R",3,"R",3
100663,27, 27,"R",1,"R",1
100663,28, 28,"R",21,"R",20
100663,29, 29,"R",8,"R",8
100663,34, 34,"R",2,"R",2
100663,35, 35,"R",1,"R",1
100663,36, 36,"R",4,"R",4
100663,37, 37,"R",4,"R",4
100663,39, 39,"R",3,"R",3
100663,40, 40,"R",2,"R",2
100663,42, 42,"R",4,"R",4
100663,45, 45,"R",3,"R",3
100663,47, 47,"R",45,"R",45
100663,48, 48,"R",17,"R",17
100663,51, 51,"R",3,"R",3
100663,55, 55,"R",1,"R",1
100663,58,999,"R",2262,"R",2248
100663,90, 90,"R",37,"R",36
100663,99, 99,"R",2299,"R",2284
100724, 1,  1,"R",593,"R",585
100724, 2,  2,"R",1,"R",1
100724, 5,  5,"R",3,"R",3
100724, 6,  6,"R",13,"R",13
100724, 8,  8,"R",2,"R",2
100724, 9,  9,"R",1,"R",1
100724,11, 11,"R",3,"R",3
100724,12, 12,"R",38,"R",38
100724,13, 13,"R",131,"R",130
100724,17, 17,"R",20,"R",19
100724,18, 18,"R",15,"R",15
100724,20, 20,"R",1,"R",1
100724,21, 21,"R",2,"R",2
100724,22, 22,"R",8,"R",8
100724,24, 24,"R",12,"R",12
100724,26, 26,"R",13,"R",13
100724,27, 27,"R",3,"R",2
100724,28, 28,"R",7,"R",7
100724,29, 29,"R",10,"R",10
100724,30, 30,"R",3,"R",0
100724,31, 31,"R",1,"R",1
100724,32, 32,"R",3,"R",3
100724,34, 34,"R",4,"R",4
100724,36, 36,"R",6,"R",6
100724,37, 37,"R",8,"R",7
100724,39, 39,"R",7,"R",7
100724,42, 42,"R",8,"R",8
100724,45, 45,"R",4,"R",4
100724,47, 47,"R",13,"R",13
100724,48, 48,"R",17,"R",17
100724,51, 51,"R",5,"R",5
100724,55, 55,"R",5,"R",5
100724,58,999,"R",960,"R",945
100724,72, 72,"R",2,"R",2
100724,89,999,"R",2,"R",2
100724,90, 90,"R",5,"R",5
100724,99, 99,"R",967,"R",952
100751, 1,  1,"R",2406,"R",2398
100751, 2,  2,"R",5,"R",5
100751, 4,  4,"R",35,"R",34
100751, 5,  5,"R",23,"R",23
100751, 6,  6,"R",282,"R",281
100751, 8,  8,"R",86,"R",85
100751, 9,  9,"R",79,"R",79
100751,10, 10,"R",10,"R",10
100751,11, 11,"R",2,"R",2
100751,12, 12,"R",392,"R",391
100751,13, 13,"R",577,"R",576
100751,15, 15,"R",4,"R",4
100751,16, 16,"R",5,"R",5
100751,17, 17,"R",455,"R",453
100751,18, 18,"R",71,"R",71
100751,19, 19,"R",9,"R",9
